_id,symbol,timestamp,open,high,low,close,volume
"ObjectId(""65f589d5163e27828843a1e8"")",BTCUSDT,2024-03-16T11:55:19.000Z,68281.09,68284.8,68281.09,68284.8,0.52398
"ObjectId(""65f589d5163e27828843a1e9"")",BTCUSDT,2024-03-16T11:55:20.000Z,68284.79,68286.02,68284.79,68286.02,0.17644
"ObjectId(""65f589d5163e27828843a1ea"")",BTCUSDT,2024-03-16T11:55:21.000Z,68290,68290,68290,68290,0.0034
"ObjectId(""65f589d5163e27828843a1eb"")",BTCUSDT,2024-03-16T11:55:22.000Z,68289.99,68290,68289.99,68290,0.01337
"ObjectId(""65f589d5163e27828843a1ec"")",BTCUSDT,2024-03-16T11:55:23.000Z,68289.99,68290,68289.99,68290,0.07456
"ObjectId(""65f589d5163e27828843a1ed"")",BTCUSDT,2024-03-16T11:55:24.000Z,68290,68290,68289.99,68290,0.57025
"ObjectId(""65f589d5163e27828843a1ee"")",BTCUSDT,2024-03-16T11:55:25.000Z,68289.99,68290,68289.99,68289.99,2.01475
"ObjectId(""65f589d5163e27828843a1ef"")",BTCUSDT,2024-03-16T11:55:26.000Z,68290,68290,68289.99,68289.99,0.05473
"ObjectId(""65f589d5163e27828843a1f0"")",BTCUSDT,2024-03-16T11:55:27.000Z,68290,68290,68289.99,68289.99,0.1424
"ObjectId(""65f589d5163e27828843a1f1"")",BTCUSDT,2024-03-16T11:55:28.000Z,68289.99,68290,68289.99,68290,0.0584
"ObjectId(""65f589d5163e27828843a1f2"")",BTCUSDT,2024-03-16T11:55:29.000Z,68290,68290,68275.63,68275.63,2.70082
"ObjectId(""65f589d5163e27828843a1f3"")",BTCUSDT,2024-03-16T11:55:30.000Z,68275.84,68275.84,68272.4,68272.4,0.24254
"ObjectId(""65f589d5163e27828843a1f4"")",BTCUSDT,2024-03-16T11:55:31.000Z,68272.41,68272.41,68266.63,68266.63,0.23483
"ObjectId(""65f589d5163e27828843a1f5"")",BTCUSDT,2024-03-16T11:55:32.000Z,68266.63,68266.64,68266.63,68266.63,0.05552
"ObjectId(""65f589d5163e27828843a1f6"")",BTCUSDT,2024-03-16T11:55:33.000Z,68266.63,68266.64,68266.63,68266.64,0.06673
"ObjectId(""65f589d5163e27828843a1f7"")",BTCUSDT,2024-03-16T11:55:34.000Z,68266.63,68266.64,68266.63,68266.64,0.5021
"ObjectId(""65f589d5163e27828843a1f8"")",BTCUSDT,2024-03-16T11:55:35.000Z,68266.63,68266.64,68266.63,68266.63,0.02161
"ObjectId(""65f589d5163e27828843a1f9"")",BTCUSDT,2024-03-16T11:55:36.000Z,68266.64,68266.64,68266.63,68266.64,0.0136
"ObjectId(""65f589d5163e27828843a1fa"")",BTCUSDT,2024-03-16T11:55:37.000Z,68266.64,68266.64,68266.63,68266.63,0.01077
"ObjectId(""65f589d5163e27828843a1fb"")",BTCUSDT,2024-03-16T11:55:38.000Z,68266.63,68266.63,68261.1,68261.1,1.5771
"ObjectId(""65f589d5163e27828843a1fc"")",BTCUSDT,2024-03-16T11:55:39.000Z,68261.11,68261.11,68256,68256.01,0.70065
"ObjectId(""65f589d5163e27828843a1fd"")",BTCUSDT,2024-03-16T11:55:40.000Z,68256,68256.01,68256,68256,0.01382
"ObjectId(""65f589d5163e27828843a1fe"")",BTCUSDT,2024-03-16T11:55:41.000Z,68256,68256,68250,68250.01,0.30997
